Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	140.80008	-99.45134	-83.744879	37.77638	1.46E-32	2.671864
1050	141.8689	-98.957525	-83.131835	0.92829208	0.008121531	2.6067937
1100	142.85825	-98.590335	-82.654282	-21.976352	0.030759599	2.4050766
1150	142.97593	-98.29101	-82.34183	-24.250634	0.065082671	2.0921766
1200	142.22462	-98.064061	-82.19869	-13.720462	0.10878724	1.70247
1250	141.03746	-97.914266	-82.181325	-1.7359258	0.16007488	1.2757987
1300	139.86283	-97.83651	-82.234601	3.9732086	0.21714328	0.85001742
1350	139.88942	-97.882021	-82.277146	-4.7989413	0.27799983	0.45520854
1400	140.84442	-98.035565	-82.324158	-20.558094	0.34061064	0.11256851
1450	140.59156	-98.096565	-82.413365	-18.246604	0.40321242	-0.16797583
1500	138.46116	-97.988176	-82.542625	7.6705231	0.46467368	-0.38708384
1550	135.92538	-97.744466	-82.581785	40.648552	0.52443424	-0.5509677
1600	135.28113	-97.469911	-82.379097	55.79073	0.58228922	-0.66778769
1650	138.43215	-97.389364	-81.94705	31.45175	0.63826757	-0.745658
1700	143.71998	-97.462318	-81.430137	-14.063147	0.69191024	-0.78956445
1750	146.62684	-97.478185	-81.12174	-40.310913	0.74166706	-0.80144287
1800	145.29919	-97.394939	-81.186596	-35.793474	0.78607131	-0.78505932
1850	141.3692	-97.301939	-81.531993	-15.910146	0.82507367	-0.7477947
1900	137.22956	-97.247962	-81.939798	4.3102217	0.85973906	-0.6974911
1950	134.75015	-97.223562	-82.191979	16.554211	0.89138664	-0.64075035
2000	135.44092	-97.296281	-82.187642	11.841327	0.92103218	-0.58322835
